# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.491036243632e-10       7.281413580880e-15       4.814961422669e-13       0.000000000000e+00       8.636469698713e-09       4.828088467486e-10      -2.512495097101e-12 
    3       1.405820053047e-10       1.234490600912e-14       6.068907968834e-13       0.000000000000e+00       5.404435593455e-09       3.447266331761e-10      -2.209135575689e-12 
    4       1.321867413796e-10       1.441913500527e-14       6.280287705032e-13       0.000000000000e+00       3.769068357844e-09       2.621564260193e-10      -1.762720905025e-12 
    5       1.255481716820e-10       1.333943657356e-14       5.883254653438e-13       0.000000000000e+00       2.815395955949e-09       2.079224351856e-10      -1.308934214120e-12 
    6       1.206707586998e-10       1.029560362580e-14       5.177813495752e-13       0.000000000000e+00       2.199190392453e-09       1.697394432025e-10      -8.948429882330e-13 
    7       1.172100867378e-10       6.824968802997e-15       4.368692209929e-13       0.000000000000e+00       1.772700305757e-09       1.414789390504e-10      -5.447908070809e-13 
    8       1.149104586177e-10       4.032883999032e-15       3.578722460686e-13       0.000000000000e+00       1.463503132737e-09       1.198753480180e-10      -2.696128093741e-13 
    9       1.135351527790e-10       2.329750965717e-15       2.881025442064e-13       0.000000000000e+00       1.231765502199e-09       1.030221141791e-10      -7.095679269679e-14 
   10       1.128176727480e-10       1.564990240522e-15       2.317316247415e-13       0.000000000000e+00       1.053172968999e-09       8.961933519506e-11       5.650325196135e-14 
   11       1.126814448760e-10       1.338196337676e-15       1.904635987702e-13       0.000000000000e+00       8.852241529536e-10       7.897268202430e-11       1.224841779695e-13 
   12       1.129350616948e-10       1.280101012560e-15       1.639426791309e-13       0.000000000000e+00       7.733393861109e-10       6.969778582192e-11       1.412242640256e-13 
   13       1.135121926576e-10       1.193170593650e-15       1.504430467973e-13       0.000000000000e+00       6.815102930486e-10       6.220349860401e-11       1.269363713487e-13 
   14       1.143621410514e-10       1.049026390898e-15       1.473915845285e-13       0.000000000000e+00       6.051276128869e-10       5.579251559237e-11       9.217437094226e-14 
   15       1.154272580178e-10       9.068885413853e-16       1.517129587199e-13       0.000000000000e+00       5.408452097686e-10       5.041118023231e-11       4.909759595213e-14 
