# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.491041182452e-10       7.281665424418e-15       4.814961370788e-13       2.518435033948e-19       8.636469698713e-09       4.828088467486e-10      -2.512495097101e-12 
    3       1.405829908835e-10       1.234540992749e-14       6.068907738067e-13       5.039180322911e-19       5.404435593455e-09       3.447266331761e-10      -2.209135575689e-12 
    4       1.321883792093e-10       1.441997537564e-14       6.280287043619e-13       8.403687045421e-19       3.769068357844e-09       2.621564260193e-10      -1.762720905025e-12 
    5       1.255506195533e-10       1.334069806066e-14       5.883253151380e-13       1.261481397083e-18       2.815395955949e-09       2.079224351856e-10      -1.308934214120e-12 
    6       1.206741710741e-10       1.029737123640e-14       5.177810553198e-13       1.767595123235e-18       2.199190392453e-09       1.697394432025e-10      -8.948429882330e-13 
    7       1.172146142590e-10       6.827327929697e-15       4.368687010312e-13       2.359090889243e-18       1.772700305757e-09       1.414789390504e-10      -5.447908070809e-13 
    8       1.149162477099e-10       4.035920451910e-15       3.578713949104e-13       3.036379343310e-18       1.463503132737e-09       1.198753480180e-10      -2.696128093741e-13 
    9       1.135423453382e-10       2.333550990963e-15       2.881012309189e-13       3.799887704047e-18       1.231765502199e-09       1.030221141791e-10      -7.095679269679e-14 
   10       1.128264059303e-10       1.569640525494e-15       2.317296918973e-13       4.650046482196e-18       1.053172968999e-09       8.961933519506e-11       5.650325196135e-14 
   11       1.126918509832e-10       1.343784002304e-15       1.904608619351e-13       5.587276515486e-18       8.852241529536e-10       7.897268202430e-11       1.224841779695e-13 
   12       1.129472681544e-10       1.286713587444e-15       1.639389268526e-13       6.611976821464e-18       7.733393861109e-10       6.969778582192e-11       1.412242640256e-13 
   13       1.135263220916e-10       1.200895985634e-15       1.504380410371e-13       7.724513737641e-18       6.815102930486e-10       6.220349860401e-11       1.269363713487e-13 
   14       1.143783114258e-10       1.057952837287e-15       1.473850614645e-13       8.925211763727e-18       6.051276128869e-10       5.579251559237e-11       9.217437094226e-14 
   15       1.154455828620e-10       9.171045543273e-16       1.517046298357e-13       1.021434644945e-17       5.408452097686e-10       5.041118023231e-11       4.909759595213e-14 
   16       1.166555614691e-10       8.391513103360e-16       1.603898337514e-13       1.159213958615e-17       4.862001237646e-10       4.579086837035e-11       6.898186125793e-15 
   17       1.180148270599e-10       8.411530611769e-16       1.709248635751e-13       1.305875686481e-17       4.393320985020e-10       4.176662345225e-11      -2.808544796127e-14 
   18       1.194703697343e-10       8.956957231034e-16       1.814352650699e-13       1.461430685433e-17       3.986590716864e-10       3.827282315418e-11      -5.227004661436e-14 
   19       1.210374193185e-10       9.704286128735e-16       1.909604581469e-13       1.625884970121e-17       3.635367448977e-10       3.524396651107e-11      -6.481915896862e-14 
   20       1.227016871839e-10       1.032314086781e-15       1.987795602133e-13       1.799238894616e-17       3.326068633907e-10       3.252969209039e-11      -6.664592070502e-14 
   21       1.244507139894e-10       1.084467186916e-15       2.049665474985e-13       1.981489629596e-17       3.053824571137e-10       3.008086909212e-11      -5.992017498165e-14 
   22       1.262431354448e-10       1.145073921258e-15       2.099628834091e-13       2.172630185697e-17       2.812119476414e-10       2.784950066989e-11      -4.798780111284e-14 
   23       1.280919637936e-10       1.233401511363e-15       2.142351172700e-13       2.372652363480e-17       2.597623758760e-10       2.584443826249e-11      -3.372145231922e-14 
   24       1.300034044549e-10       1.367835765176e-15       2.183250036470e-13       2.581545772043e-17       2.405369690813e-10       2.406444931046e-11      -2.012885251703e-14 
   25       1.319671100942e-10       1.548665549965e-15       2.226961362784e-13       2.799301274759e-17       2.233091096711e-10       2.247338094064e-11      -9.071529110674e-15 
   26       1.339546296427e-10       1.768785552551e-15       2.277495988532e-13       3.025909787772e-17       2.077665435896e-10       2.101276834775e-11      -1.946035818163e-15 
   27       1.359725410693e-10       2.021756117643e-15       2.335114750692e-13       3.261365303372e-17       1.937224841567e-10       1.968148747379e-11       1.008632639139e-15 
   28       1.380279305984e-10       2.301187543485e-15       2.398182139770e-13       3.505664123580e-17       1.809344585644e-10       1.848499713733e-11       1.492954611339e-16 
   29       1.401282200209e-10       2.606692894184e-15       2.463664733844e-13       3.758808360064e-17       1.693370201280e-10       1.741524646722e-11      -3.676404227688e-15 
   30       1.422678065687e-10       2.939664573432e-15       2.527144410579e-13       4.020803968616e-17       1.588054994186e-10       1.644672652742e-11      -9.163595019736e-15 
   31       1.444307207050e-10       3.300865285253e-15       2.583433733301e-13       4.291660744545e-17       1.491248766654e-10       1.554493943463e-11      -1.480213377570e-14 
   32       1.466221670505e-10       3.688126528246e-15       2.628858360683e-13       4.571394696550e-17       1.402450565561e-10       1.470420916617e-11      -1.975654551733e-14 
   33       1.488461862310e-10       4.097684704483e-15       2.659724747900e-13       4.860027387716e-17       1.321031325989e-10       1.392232635419e-11      -2.329037049664e-14 
   34       1.510993835276e-10       4.526286090941e-15       2.672453900840e-13       5.157585322440e-17       1.245850179814e-10       1.319299157230e-11      -2.473142071023e-14 
   35       1.533820492227e-10       4.976697111432e-15       2.666252197168e-13       5.464098191389e-17       1.176521528880e-10       1.251608436610e-11      -2.417087139894e-14 
   36       1.556891207715e-10       5.454192281700e-15       2.641394479767e-13       5.779600790676e-17       1.112488324257e-10       1.189011230189e-11      -2.201922137437e-14 
   37       1.580115677602e-10       5.964203604614e-15       2.598599264513e-13       6.104131547729e-17       1.052916212538e-10       1.131059692075e-11      -1.879320028126e-14 
   38       1.603545537684e-10       6.508956778854e-15       2.539193787540e-13       6.437724356263e-17       9.976510880466e-11       1.077531972495e-11      -1.497812058117e-14 
   39       1.627241178040e-10       7.089767929675e-15       2.465059456131e-13       6.780414568754e-17       9.465175751840e-11       1.028021208970e-11      -1.113506730428e-14 
   40       1.651216404501e-10       7.707940563828e-15       2.378631603033e-13       7.132241487939e-17       8.990277778535e-11       9.817558814369e-12      -7.947542504092e-15 
   41       1.675453788500e-10       8.364553788300e-15       2.282184366476e-13       7.493244595992e-17       8.545512324125e-11       9.378591392970e-12      -6.047817783402e-15 
   42       1.699969360577e-10       9.059751254218e-15       2.175323404449e-13       7.863450194727e-17       8.129568391201e-11       8.963018679664e-12      -5.409768398981e-15 
   43       1.724760130663e-10       9.793215696544e-15       2.056734349503e-13       8.242880816099e-17       7.741340166564e-11       8.572083769146e-12      -5.771155629296e-15 
   44       1.749781531064e-10       1.056434070652e-14       1.924844469162e-13       8.631558817816e-17       7.378000710074e-11       8.205827810494e-12      -6.793017504763e-15 
   45       1.774974326612e-10       1.137247811462e-14       1.778009118511e-13       9.029502718388e-17       7.036011446005e-11       7.863362690243e-12      -8.110190117555e-15 
   46       1.800363994681e-10       1.221780921888e-14       1.615178817185e-13       9.436714990287e-17       6.714833388781e-11       7.544037733173e-12      -9.512415873958e-15 
   47       1.825984518887e-10       1.310070450593e-14       1.435401827441e-13       9.853190549133e-17       6.414092369935e-11       7.246440298683e-12      -1.080905426122e-14 
   48       1.851848197290e-10       1.402147948066e-14       1.237631903091e-13       1.027891981924e-16       6.132459722344e-11       6.967964030736e-12      -1.177670835973e-14 
   49       1.877943570558e-10       1.498039256215e-14       1.020722531755e-13       1.071388848470e-16       5.867581299460e-11       6.704724007208e-12      -1.215752208841e-14 
   50       1.904249885866e-10       1.597764134501e-14       7.837264611699e-14       1.115807686159e-16       5.616786439031e-11       6.452664033327e-12      -1.174297412014e-14 
   51       1.930789923723e-10       1.701335506849e-14       5.269034845406e-14       1.161145839104e-16       5.379606398055e-11       6.211429709420e-12      -1.065602407169e-14 
   52       1.957587929092e-10       1.808759646622e-14       2.509762545057e-14       1.207400030688e-16       5.155816823915e-11       5.981399994069e-12      -9.142608391928e-15 
   53       1.984653065924e-10       1.920036109296e-14      -4.314268796087e-15       1.254566371838e-16       4.944684092789e-11       5.762558876739e-12      -7.495102874924e-15 
   54       2.011978123470e-10       2.035157514362e-14      -3.543423049920e-14       1.302640334354e-16       4.744931032153e-11       5.554466628027e-12      -6.054643278070e-15 
   55       2.039549715581e-10       2.154113533546e-14      -6.815740647755e-14       1.351617260291e-16       4.555126512059e-11       5.356482627271e-12      -5.130835884578e-15 
   56       2.067384809372e-10       2.276904515307e-14      -1.024730599950e-13       1.401494099399e-16       4.375046081261e-11       5.168564531060e-12      -4.732215938608e-15 
   57       2.095501005072e-10       2.403530862947e-14      -1.383970248252e-13       1.452268056579e-16       4.204589302586e-11       4.990617277882e-12      -4.772894043776e-15 
   58       2.123905010606e-10       2.533989071796e-14      -1.759468419693e-13       1.503936087982e-16       4.043368122124e-11       4.822240369168e-12      -5.148421187923e-15 
   59       2.152591795684e-10       2.668271675002e-14      -2.151419492342e-13       1.556494895219e-16       3.890689106102e-11       4.662708921253e-12      -5.734890787639e-15 
   60       2.181543745902e-10       2.806367189317e-14      -2.560038708113e-13       1.609940919574e-16       3.745535677756e-11       4.510954717333e-12      -6.388040732783e-15 
   61       2.210741350834e-10       2.948253716076e-14      -2.985527256208e-13       1.664271111513e-16       3.606850402552e-11       4.365855815304e-12      -6.973278436372e-15 
   62       2.240199985446e-10       3.093878188346e-14      -3.427954076159e-13       1.719485454143e-16       3.474496071334e-11       4.227224200052e-12      -7.465662847418e-15 
   63       2.269939921161e-10       3.243172348172e-14      -3.887350767576e-13       1.775584998474e-16       3.348479803383e-11       4.095007205588e-12      -7.870873169372e-15 
   64       2.299975049957e-10       3.396058429871e-14      -4.363746774731e-13       1.832571156548e-16       3.228663954522e-11       3.968989545038e-12      -8.196347742729e-15 
   65       2.330312404414e-10       3.552448904501e-14      -4.857170114315e-13       1.890445720248e-16       3.114757874294e-11       3.848784152847e-12      -8.451367253137e-15 
   66       2.360951677786e-10       3.712246224327e-14      -5.367648103198e-13       1.949210880109e-16       3.006309663142e-11       3.733823026985e-12      -8.647137939487e-15 
   67       2.391884744053e-10       3.875342567298e-14      -5.895208086187e-13       2.008869244129e-16       2.902697929585e-11       3.623348071149e-12      -8.796874802016e-15 
   68       2.423102166649e-10       4.041631018415e-14      -6.439844401221e-13       2.069423748915e-16       2.803297762873e-11       3.516619698504e-12      -8.913997531043e-15 
   69       2.454615328926e-10       4.211042315949e-14      -7.001409875307e-13       2.130877330145e-16       2.708036128468e-11       3.413612196478e-12      -9.006107811246e-15 
   70       2.486437946319e-10       4.383515126143e-14      -7.579703549161e-13       2.193233218821e-16       2.616934719619e-11       3.314443457101e-12      -9.079935532211e-15 
   71       2.518579178646e-10       4.558985301411e-14      -8.174502361187e-13       2.256495058798e-16       2.529941979887e-11       3.219166158062e-12      -9.143152404848e-15 
   72       2.551043328899e-10       4.737385917320e-14      -8.785561011738e-13       2.320666922840e-16       2.446929315961e-11       3.127764174259e-12      -9.204406901475e-15 
   73       2.583829542047e-10       4.918647309558e-14      -9.412611827387e-13       2.385753328680e-16       2.367687310478e-11       3.040148989358e-12      -9.273359195902e-15 
   74       2.616931503831e-10       5.102697110910e-14      -1.005536462519e-12       2.451759255078e-16       2.291921934837e-11       2.956156107342e-12      -9.360716103519e-15 
   75       2.650337139566e-10       5.289460288233e-14      -1.071350657694e-12       2.518690157878e-16       2.219250762015e-11       2.875541464066e-12      -9.478266021374e-15 
   76       2.684034413907e-10       5.478844083850e-14      -1.138667844661e-12       2.586551019678e-16       2.149297911401e-11       2.798047643242e-12      -9.635258850760e-15 
   77       2.718030616994e-10       5.670689587776e-14      -1.207439859991e-12       2.655343263276e-16       2.082007243332e-11       2.723624396945e-12      -9.826706407418e-15 
   78       2.752336064343e-10       5.864811360598e-14      -1.277612482652e-12       2.725067301932e-16       2.017379661892e-11       2.652242005434e-12      -1.004300210164e-14 
   79       2.786958134631e-10       6.061011477458e-14      -1.349127612742e-12       2.795723452131e-16       1.955377715482e-11       2.583822918016e-12      -1.027334732489e-14 
   80       2.821901093598e-10       6.259079255475e-14      -1.421923209466e-12       2.867311929821e-16       1.895923834216e-11       2.518239595998e-12      -1.050571144076e-14 
   81       2.857165917948e-10       6.458790981176e-14      -1.495933229116e-12       2.939832846652e-16       1.838898567325e-11       2.455312355634e-12      -1.072679177600e-14 
   82       2.892750119255e-10       6.659909637920e-14      -1.571087563049e-12       3.013286206222e-16       1.784138820543e-11       2.394807211079e-12      -1.092197361149e-14 
   83       2.928647567867e-10       6.862184633326e-14      -1.647311975661e-12       3.087671900316e-16       1.731436093513e-11       2.336433717336e-12      -1.107529017322e-14 
   84       2.964851838233e-10       7.065376083983e-14      -1.724536536560e-12       3.162989846604e-16       1.680587165720e-11       2.279914180882e-12      -1.117287239010e-14 
   85       3.001367267825e-10       7.269332892285e-14      -1.802722659061e-12       3.239240436197e-16       1.631559669707e-11       2.225209199497e-12      -1.121404290279e-14 
   86       3.038199417215e-10       7.473927173515e-14      -1.881840451226e-12       3.316424153737e-16       1.584350862370e-11       2.172325731157e-12      -1.120199640309e-14 
   87       3.075351596460e-10       7.679030987473e-14      -1.961860699754e-12       3.394541441184e-16       1.538936748773e-11       2.121248107258e-12      -1.114049175653e-14 
   88       3.112824748193e-10       7.884516478631e-14      -2.042754950725e-12       3.473592696425e-16       1.495271201035e-11       2.071937075020e-12      -1.103387064484e-14 
   89       3.150617330704e-10       8.090256016286e-14      -2.124495590333e-12       3.553578271899e-16       1.453285077214e-11       2.024328839893e-12      -1.088707620852e-14 
   90       3.188725201038e-10       8.296122334720e-14      -2.207055925623e-12       3.634498473215e-16       1.412885340189e-11       1.978334107963e-12      -1.070567168937e-14 
   91       3.227141498070e-10       8.501988673348e-14      -2.290410265231e-12       3.716353557767e-16       1.373954176552e-11       1.933837128363e-12      -1.049585907299e-14 
   92       3.265856525601e-10       8.707728916875e-14      -2.374534000118e-12       3.799143733358e-16       1.336348115481e-11       1.890694735673e-12      -1.026449773137e-14 
   93       3.304860898066e-10       8.913207090748e-14      -2.459395789383e-12       3.882870300525e-16       1.299932080460e-11       1.848772444104e-12      -1.001818878954e-14 
   94       3.344155772805e-10       9.118243735842e-14      -2.544932597956e-12       3.967539279056e-16       1.264689316563e-11       1.808061019705e-12      -9.760330204934e-15 
   95       3.383743947727e-10       9.322644712126e-14      -2.631071036373e-12       4.053158326890e-16       1.230626444076e-11       1.768575751709e-12      -9.493651179058e-15 
   96       3.423626664648e-10       9.526211386867e-14      -2.717734893929e-12       4.139735659125e-16       1.197739602580e-11       1.730320519966e-12      -9.221112708494e-15 
   97       3.463803537163e-10       9.728740628671e-14      -2.804845111034e-12       4.227280062341e-16       1.166014049360e-11       1.693287345951e-12      -8.945913402801e-15 
   98       3.504272478519e-10       9.930024801517e-14      -2.892319751584e-12       4.315800908917e-16       1.135423757801e-11       1.657455943776e-12      -8.671495302394e-15 
   99       3.545029629489e-10       1.012985175880e-13      -2.980073975325e-12       4.405308171349e-16       1.105931015791e-11       1.622793271199e-12      -8.401549696422e-15 
  100       3.586069286239e-10       1.032800483734e-13      -3.068020010216e-12       4.495812436568e-16       1.077486024126e-11       1.589253080638e-12      -8.140022940657e-15 
  101       3.627383828210e-10       1.052426285147e-13      -3.156067124794e-12       4.587324920257e-16       1.050026494909e-11       1.556775470174e-12      -7.891122275368e-15 
  102       3.668963645982e-10       1.071840008702e-13      -3.244121600541e-12       4.679857481173e-16       1.023477249950e-11       1.525286434570e-12      -7.659321643205e-15 
  103       3.710797069153e-10       1.091018629539e-13      -3.332086704248e-12       4.773422635462e-16       9.977498191735e-12       1.494697416274e-12      -7.449367507085e-15 
  104       3.752872819216e-10       1.109939748724e-13      -3.419868862100e-12       4.868032288863e-16       9.727625049566e-12       1.464925812678e-12      -7.265182285801e-15 
  105       3.795187900925e-10       1.128584998712e-13      -3.507397191309e-12       4.963693707434e-16       9.485045269691e-12       1.435960619898e-12      -7.106393427836e-15 
  106       3.837740647435e-10       1.146937098942e-13      -3.594606567683e-12       5.060413026691e-16       9.249798340131e-12       1.407804860751e-12      -6.971344129477e-15 
  107       3.880528246643e-10       1.164978828086e-13      -3.681431699542e-12       5.158196485341e-16       9.021872372888e-12       1.380455204295e-12      -6.858147627257e-15 
  108       3.923546696807e-10       1.182693035320e-13      -3.767807168234e-12       5.257050425514e-16       8.801202336971e-12       1.353901747135e-12      -6.764680901750e-15 
  109       3.966790762168e-10       1.200062651594e-13      -3.853667468650e-12       5.356981292990e-16       8.587668291417e-12       1.328127794717e-12      -6.688578381358e-15 
  110       4.010253928564e-10       1.217070700904e-13      -3.938947049742e-12       5.457995637427e-16       8.381093618313e-12       1.303109642629e-12      -6.627225646102e-15 
  111       4.053928359060e-10       1.233700311565e-13      -4.023580355035e-12       5.560100112596e-16       8.181243255820e-12       1.278816357898e-12      -6.577753131414e-15 
  112       4.097804849558e-10       1.249934727481e-13      -4.107501863145e-12       5.663301476601e-16       7.987821931193e-12       1.255209560292e-12      -6.537029831930e-15 
  113       4.141872784424e-10       1.265757319415e-13      -4.190646128298e-12       5.767606592115e-16       7.800472393805e-12       1.232243203612e-12      -6.501657005275e-15 
  114       4.186120092104e-10       1.281151596263e-13      -4.272947820837e-12       5.873022426606e-16       7.618773648167e-12       1.209863356999e-12      -6.467961875858e-15 
  115       4.230533200748e-10       1.296101216325e-13      -4.354341767748e-12       5.979556052569e-16       7.442239186956e-12       1.188007986224e-12      -6.431991338664e-15 
  116       4.275098988115e-10       1.310590288698e-13      -4.434761709718e-12       6.087214642649e-16       7.270423714773e-12       1.166621019634e-12      -6.390304856506e-15 
  117       4.319810995141e-10       1.324604294927e-13      -4.514136314283e-12       6.196005453872e-16       7.103261817652e-12       1.145696953663e-12      -6.342475977800e-15 
  118       4.364663888003e-10       1.338129301100e-13      -4.592392751781e-12       6.305935841919e-16       6.940767342921e-12       1.125241285062e-12      -6.288884548534e-15 
  119       4.409651504970e-10       1.351151691435e-13      -4.669457964283e-12       6.417013266240e-16       6.782927793826e-12       1.105256620117e-12      -6.229945493940e-15 
  120       4.454766829655e-10       1.363658182115e-13      -4.745258694758e-12       6.529245290236e-16       6.629703521801e-12       1.085742582249e-12      -6.166109588531e-15 
