# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.536362601454e-10       8.181463557536e-15       5.023084037094e-13       0.000000000000e+00       8.562518891358e-09       5.068610112869e-10      -2.656320013014e-12 
    3       1.439855067781e-10       1.378594046963e-14       6.350743165225e-13       0.000000000000e+00       5.283904789115e-09       3.595744499955e-10      -2.332363833567e-12 
    4       1.347070756965e-10       1.598952919610e-14       6.573413124806e-13       0.000000000000e+00       3.669767759215e-09       2.726748038832e-10      -1.854798125937e-12 
    5       1.274256101618e-10       1.467200223378e-14       6.149460215741e-13       0.000000000000e+00       2.733523549128e-09       2.157249378159e-10      -1.370456588958e-12 
    6       1.220731758653e-10       1.121747197956e-14       5.397214280697e-13       0.000000000000e+00       2.131484978906e-09       1.757574226031e-10      -9.300947743370e-13 
    7       1.183093723092e-10       7.355902768158e-15       4.533938496527e-13       0.000000000000e+00       1.717585619913e-09       1.463342636892e-10      -5.595470073657e-13 
    8       1.157770594812e-10       4.299695162870e-15       3.691949235371e-13       0.000000000000e+00       1.418163519712e-09       1.238887000937e-10      -2.700306124168e-13 
    9       1.141860756230e-10       2.470172795601e-15       2.950082446090e-13       0.000000000000e+00       1.193156878546e-09       1.063207410852e-10      -6.281990967219e-14 
   10       1.133779435763e-10       1.669587486336e-15       2.351127837355e-13       0.000000000000e+00       1.019120476088e-09       9.230703840819e-11       6.830643021638e-14 
   11       1.131327874474e-10       1.440280727157e-15       1.912530463731e-13       0.000000000000e+00       8.597438988569e-10       8.118859243663e-11       1.339640612187e-13 
   12       1.132968480243e-10       1.376894002340e-15       1.632684121109e-13       0.000000000000e+00       7.506600020308e-10       7.184164620233e-11       1.508075337044e-13 
   13       1.138561041630e-10       1.273311166531e-15       1.492856327212e-13       0.000000000000e+00       6.611587175715e-10       6.385850529584e-11       1.323601222807e-13 
   14       1.146631860167e-10       1.109264807219e-15       1.462724470763e-13       0.000000000000e+00       5.867286637260e-10       5.730894120194e-11       9.393512704013e-14 
   15       1.156960565914e-10       9.539361871174e-16       1.508570729959e-13       0.000000000000e+00       5.241188321830e-10       5.180059807555e-11       4.773199406960e-14 
   16       1.168938790945e-10       8.710153349471e-16       1.598135309698e-13       0.000000000000e+00       4.709135947897e-10       4.692207602877e-11       3.039867672028e-15 
   17       1.182402712682e-10       8.731410620662e-16       1.704679116643e-13       0.000000000000e+00       4.252926146645e-10       4.275540104095e-11      -3.330025076961e-14 
   18       1.197319344209e-10       9.253998210446e-16       1.808124206822e-13       0.000000000000e+00       3.857154071255e-10       3.915661899254e-11      -5.776742147422e-14 
   19       1.213516758942e-10       9.921786034402e-16       1.898871925068e-13       0.000000000000e+00       3.515486860541e-10       3.600932875748e-11      -6.971487226293e-14 
   20       1.230232186148e-10       1.039347574610e-15       1.970366893162e-13       0.000000000000e+00       3.214714730511e-10       3.316147523962e-11      -7.033820911615e-14 
   21       1.247702291382e-10       1.073503981714e-15       2.023881653098e-13       0.000000000000e+00       2.950076903343e-10       3.060825801117e-11      -6.210902916664e-14 
   22       1.266130889785e-10       1.118061707342e-15       2.064588264176e-13       0.000000000000e+00       2.715203941748e-10       2.835056624273e-11      -4.872454585346e-14 
   23       1.285341356254e-10       1.193906703736e-15       2.098497016697e-13       0.000000000000e+00       2.506840769842e-10       2.635243412294e-11      -3.329566990431e-14 
   24       1.304850154027e-10       1.319496029666e-15       2.132476907512e-13       0.000000000000e+00       2.320145471735e-10       2.454251662566e-11      -1.901534337871e-14 
   25       1.324771929065e-10       1.493627791902e-15       2.171162522292e-13       0.000000000000e+00       2.152901657841e-10       2.290253636515e-11      -7.747878181098e-15 
   26       1.345233253417e-10       1.707182882660e-15       2.218068318157e-13       0.000000000000e+00       2.002062855535e-10       2.141490844233e-11      -8.122788928228e-16 
   27       1.366161585894e-10       1.953430527638e-15       2.273384646351e-13       0.000000000000e+00       1.865811624693e-10       2.006566674625e-11       1.628015360042e-15 
   28       1.387337736393e-10       2.226132008323e-15       2.335430980223e-13       0.000000000000e+00       1.741792695662e-10       1.883317362531e-11       3.583127947872e-17 
   29       1.408833558757e-10       2.524595283439e-15       2.400791579272e-13       0.000000000000e+00       1.629362960856e-10       1.771273232464e-11      -4.582714584716e-15 
   30       1.430698393791e-10       2.849676878092e-15       2.464437424960e-13       0.000000000000e+00       1.527301913805e-10       1.669413497640e-11      -1.071123374293e-14 
   31       1.452882096384e-10       3.201527510579e-15       2.520471043709e-13       0.000000000000e+00       1.433512802758e-10       1.575832440338e-11      -1.663094573751e-14 
   32       1.475446027880e-10       3.577517716484e-15       2.564722307569e-13       0.000000000000e+00       1.347506768813e-10       1.490032562958e-11      -2.150279501746e-14 
   33       1.498405046225e-10       3.973423477816e-15       2.593008538209e-13       0.000000000000e+00       1.268674026933e-10       1.411311536173e-11      -2.466732621100e-14 
   34       1.521698672081e-10       4.385711224320e-15       2.601401935578e-13       0.000000000000e+00       1.195908573339e-10       1.338423957731e-11      -2.555566238689e-14 
   35       1.545328650437e-10       4.817888380436e-15       2.589661556732e-13       0.000000000000e+00       1.128832983656e-10       1.270775705994e-11      -2.437252432700e-14 
   36       1.569251243670e-10       5.276469667603e-15       2.559041224259e-13       0.000000000000e+00       1.066902403783e-10       1.207540784077e-11      -2.166634844213e-14 
   37       1.593379331945e-10       5.768093091095e-15       2.511241237428e-13       0.000000000000e+00       1.009303516208e-10       1.147680563566e-11      -1.808774122627e-14 
   38       1.617747268874e-10       6.295014725741e-15       2.447749678591e-13       0.000000000000e+00       9.558849831915e-11       1.091274227045e-11      -1.413259207940e-14 
   39       1.642388591565e-10       6.858173132861e-15       2.370345612315e-13       0.000000000000e+00       9.064760210817e-11       1.038573177661e-11      -1.032932680929e-14 
   40       1.667284738176e-10       7.458381902715e-15       2.281314963072e-13       0.000000000000e+00       8.606035695143e-11       9.896182829778e-12      -7.316330735760e-15 
   41       1.692391204013e-10       8.096224474007e-15       2.182750936525e-13       0.000000000000e+00       8.176565992733e-11       9.442718109838e-12      -5.672809045417e-15 
   42       1.717739685585e-10       8.771723373977e-15       2.074107770653e-13       0.000000000000e+00       7.775067155815e-11       9.023757385260e-12      -5.329065819281e-15 
   43       1.743359780958e-10       9.484545127388e-15       1.953902191969e-13       0.000000000000e+00       7.400452260362e-11       8.636099712704e-12      -5.975510439180e-15 
   44       1.769246770265e-10       1.023406837100e-14       1.820355666505e-13       0.000000000000e+00       7.049969124791e-11       8.274271976745e-12      -7.216617591706e-15 
   45       1.795378433831e-10       1.101963698818e-14       1.671623500489e-13       0.000000000000e+00       6.720178585788e-11       7.932148047733e-12      -8.635814658802e-15 
   46       1.821779540900e-10       1.184145046055e-14       1.506610127960e-13       0.000000000000e+00       6.410550167503e-11       7.608788283864e-12      -1.002603860045e-14 
   47       1.848470837866e-10       1.269991031431e-14       1.324364133290e-13       0.000000000000e+00       6.120716100800e-11       7.304053613544e-12      -1.121889427715e-14 
   48       1.875448304782e-10       1.359537116537e-14       1.123845471163e-13       0.000000000000e+00       5.849387247719e-11       7.016899311294e-12      -1.201900406597e-14 
