# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.537108624783e-10       8.192982278683e-15       5.034867828107e-13       2.065846366192e-19       8.545962079909e-09       5.064976773928e-10      -2.656603522191e-12 
    3       1.440342495422e-10       1.379842228493e-14       6.360148153729e-13       4.134472936480e-19       5.245172700299e-09       3.593655409895e-10      -2.334473644037e-12 
    4       1.347311784207e-10       1.600317819432e-14       6.585718972737e-13       6.896852872734e-19       3.642806825931e-09       2.723220035007e-10      -1.856903329634e-12 
    5       1.274368917922e-10       1.468510470633e-14       6.163746896973e-13       1.035638173906e-18       2.714367184279e-09       2.152447785104e-10      -1.372333985083e-12 
    6       1.220799703504e-10       1.122777625964e-14       5.411724541645e-13       1.451704734676e-18       2.116391513679e-09       1.751886266437e-10      -9.318389245377e-13 
    7       1.183117585846e-10       7.363405557706e-15       4.547269902784e-13       1.938327505322e-18       1.703945208618e-09       1.456775088964e-10      -5.611780548884e-13 
    8       1.157774285931e-10       4.304104723613e-15       3.702896510760e-13       2.495975759978e-18       1.404877330361e-09       1.231503488294e-10      -2.716169086359e-13 
    9       1.141905357569e-10       2.470796626735e-15       2.957958525228e-13       3.125127681287e-18       1.179945650996e-09       1.055314178995e-10      -6.445000322968e-14 
   10       1.133854654920e-10       1.665946984367e-15       2.355734715177e-13       3.826252484951e-18       1.006145020072e-09       9.149196264826e-11       6.654943618816e-14 
   11       1.131473176307e-10       1.433006295577e-15       1.914431862398e-13       4.599793269548e-18       8.506903190432e-10       8.041777353254e-11       1.320630269517e-13 
   12       1.133146856993e-10       1.368113677483e-15       1.632602582153e-13       5.446151332026e-18       7.422240888573e-10       7.107827415693e-11       1.487784206459e-13 
   13       1.138750297922e-10       1.266218636939e-15       1.491610671211e-13       6.365672626967e-18       6.532605530672e-10       6.309991954906e-11       1.302576900658e-13 
   14       1.146864391955e-10       1.106932229845e-15       1.461806748783e-13       7.358636956000e-18       5.793055699353e-10       5.656996483851e-11       9.184592981168e-14 
   15       1.157259445328e-10       9.581838463407e-16       1.508775796565e-13       8.425250356485e-18       5.171196770781e-10       5.108288156246e-11       4.571867810696e-14 
   16       1.169222017868e-10       8.820569802984e-16       1.599673621698e-13       9.565641020675e-18       4.642953302642e-10       4.620879179468e-11       1.160756411025e-15 
   17       1.182693185978e-10       8.898054114714e-16       1.708056121208e-13       1.077985892374e-17       4.190194559077e-10       4.205163161352e-11      -3.492340935647e-14 
   18       1.197604077435e-10       9.458591727275e-16       1.813570218996e-13       1.206787731479e-17       3.797588459279e-10       3.846246390347e-11      -5.903898303770e-14 
   19       1.213789131194e-10       1.014933429662e-15       1.906308073169e-13       1.342960896664e-17       3.458783958419e-10       3.532654275105e-11      -7.060488167668e-14 
   20       1.230522952946e-10       1.063716344541e-15       1.979473254987e-13       1.486489610859e-17       3.160666815103e-10       3.249889071653e-11      -7.089412325091e-14 
   21       1.248022827427e-10       1.099543584884e-15       2.034351287672e-13       1.637355034005e-17       2.898487372556e-10       2.996921285833e-11      -6.242436672388e-14 
   22       1.266459420823e-10       1.146533700259e-15       2.076216216904e-13       1.795534014286e-17       2.665898625031e-10       2.772951692999e-11      -4.891858863682e-14 
   23       1.285681323928e-10       1.225553559390e-15       2.111036859448e-13       1.961003600133e-17       2.459654795679e-10       2.574590754747e-11      -3.345868060619e-14 
   24       1.305243385373e-10       1.354799297236e-15       2.145602555133e-13       2.133739790620e-17       2.274943760530e-10       2.395267946814e-11      -1.918559965115e-14 
   25       1.325239054958e-10       1.533039654770e-15       2.184519965446e-13       2.313722519012e-17       2.109555765955e-10       2.233163046081e-11      -7.941278577373e-15 
   26       1.345758549463e-10       1.751175796062e-15       2.231354461102e-13       2.500934156708e-17       1.960460731834e-10       2.086345919253e-11      -1.033502511022e-15 
   27       1.366739618969e-10       2.002403748774e-15       2.286600843946e-13       2.695363706592e-17       1.825848493176e-10       1.953281978057e-11       1.362499499301e-15 
   28       1.387986289864e-10       2.280378866417e-15       2.348886865786e-13       2.897005812438e-17       1.703378461448e-10       1.831705850338e-11      -3.046301774979e-16 
   29       1.409570689782e-10       2.584369589389e-15       2.414511393314e-13       3.105864834074e-17       1.592406369434e-10       1.721192318540e-11      -5.010824036300e-15 
   30       1.431533822252e-10       2.915209073600e-15       2.477883245288e-13       3.321952939560e-17       1.491718367835e-10       1.620844805386e-11      -1.120609397104e-14 
   31       1.453817498099e-10       3.273027877865e-15       2.532627785300e-13       3.545289878836e-17       1.399234829806e-10       1.528886479931e-11      -1.713935737520e-14 
   32       1.476485957314e-10       3.655207784933e-15       2.575004985772e-13       3.775904104324e-17       1.314466904915e-10       1.444780635937e-11      -2.197685059456e-14 
   33       1.499561306254e-10       4.057550624485e-15       2.601672327993e-13       4.013833422860e-17       1.236807245123e-10       1.367726464431e-11      -2.507973635776e-14 
   34       1.522990766323e-10       4.476558640842e-15       2.609449184422e-13       4.259123968260e-17       1.165158797259e-10       1.296391898814e-11      -2.590052775433e-14 
   35       1.546779716892e-10       4.915791850997e-15       2.597685135361e-13       4.511824830877e-17       1.099144999928e-10       1.230202383979e-11      -2.464636803752e-14 
   36       1.570886979812e-10       5.381831308432e-15       2.566747355161e-13       4.771992701940e-17       1.038224681420e-10       1.168398501245e-11      -2.186211666569e-14 
   37       1.595227066089e-10       5.881378193961e-15       2.517492491439e-13       5.039689439465e-17       9.815920497941e-11       1.110008447608e-11      -1.819657102113e-14 
   38       1.619831452107e-10       6.416693807761e-15       2.451482206990e-13       5.314966676938e-17       9.290949712857e-11       1.055096648830e-11      -1.415461042665e-14 
   39       1.644728587491e-10       6.988700638329e-15       2.370900078737e-13       5.597876784169e-17       8.805625798511e-11       1.003874008981e-11      -1.027854350521e-14 
   40       1.669893457088e-10       7.598188943568e-15       2.278542347316e-13       5.888477311589e-17       8.355262390926e-11       9.563369503611e-12      -7.223318957081e-15 
   41       1.695275754876e-10       8.245710874354e-15       2.176988784371e-13       6.186824618412e-17       7.933815520510e-11       9.123091894234e-12      -5.581802341661e-15 
   42       1.720909083683e-10       8.931248546786e-15       2.065700363336e-13       6.492951660860e-17       7.540001634610e-11       8.716336183991e-12      -5.275737570058e-15 
   43       1.746827748124e-10       9.654418903909e-15       1.943040016378e-13       6.806883394471e-17       7.172734688251e-11       8.340077405770e-12      -5.978048931334e-15 
   44       1.773032682733e-10       1.041454149676e-14       1.807036175961e-13       7.128642570845e-17       6.829290839311e-11       7.989101317833e-12      -7.271768249500e-15 
   45       1.799506694270e-10       1.121091039429e-14       1.655647711190e-13       7.458244652864e-17       6.506271390808e-11       7.657547713953e-12      -8.720110043734e-15 
   46       1.826273528398e-10       1.204374874348e-14       1.487705272268e-13       7.795681239402e-17       6.203141519832e-11       7.344481219078e-12      -1.011499720926e-14 
   47       1.853350754836e-10       1.291350934480e-14       1.302213774122e-13       8.140931330259e-17       5.919528164920e-11       7.049703940209e-12      -1.129322114224e-14 
   48       1.880730478645e-10       1.382060867413e-14       1.098084363111e-13       8.493965295227e-17       5.654153400602e-11       6.772125355826e-12      -1.206590842987e-14 
   49       1.908377056378e-10       1.476542578871e-14       8.741288456240e-14       8.854744384578e-17       5.404767276333e-11       6.509694962211e-12      -1.221723044145e-14 
   50       1.936246643616e-10       1.574826951179e-14       6.293982796127e-14       9.223221553767e-17       5.168820647907e-11       6.260072850814e-12      -1.158103453854e-14 
   51       1.964357391298e-10       1.676927202433e-14       3.643200241800e-14       9.599345337106e-17       4.945854791415e-11       6.023012285663e-12      -1.029825344163e-14 
   52       1.992734355621e-10       1.782846449873e-14       7.985969872986e-15       9.983056179398e-17       4.735644330962e-11       5.798507424692e-12      -8.627136175296e-15 
   53       2.021388105313e-10       1.892580377004e-14      -2.227856322447e-14       1.037428479610e-16       4.537482366526e-11       5.586080059370e-12      -6.873753324439e-15 
   54       2.050313465142e-10       2.006116974907e-14      -5.421768346669e-14       1.077295174565e-16       4.350148136067e-11       5.384746987177e-12      -5.394373525034e-15 
   55       2.079499562737e-10       2.123441775890e-14      -8.769795809617e-14       1.117897742907e-16       4.172276039990e-11       5.193348389481e-12      -4.509431076090e-15 
   56       2.108965770253e-10       2.244555669597e-14      -1.227130227473e-13       1.159231597755e-16       4.003644150258e-11       5.011703239894e-12      -4.214956847378e-15 
   57       2.138732490546e-10       2.369461059686e-14      -1.592940956387e-13       1.201292903414e-16       3.844149152244e-11       4.839683774508e-12      -4.403623224404e-15 
   58       2.168809837809e-10       2.498156715539e-14      -1.974770882864e-13       1.244077604314e-16       3.693416690094e-11       4.676861475825e-12      -4.945827464687e-15 
   59       2.199196821468e-10       2.630637727552e-14      -2.373029359139e-13       1.287581422867e-16       3.550784666326e-11       4.522488510395e-12      -5.688623686769e-15 
   60       2.229880530086e-10       2.766895462442e-14      -2.788179278616e-13       1.331799857326e-16       3.415286541429e-11       4.375479166447e-12      -6.454654859221e-15 
   61       2.260845523817e-10       2.906910624792e-14      -3.220645160645e-13       1.376729370747e-16       3.285917797273e-11       4.234704544914e-12      -7.080805313063e-15 
   62       2.292106321643e-10       3.050630722916e-14      -3.670505821082e-13       1.422371274561e-16       3.162543000597e-11       4.099995922063e-12      -7.546712798947e-15 
   63       2.323680791249e-10       3.197987442623e-14      -4.137738267575e-13       1.468728716879e-16       3.045163631078e-11       3.971334688081e-12      -7.873338413308e-15 
   64       2.355580101491e-10       3.348902836419e-14      -4.622307108926e-13       1.515805603258e-16       2.933645320594e-11       3.848550514851e-12      -8.085979975514e-15 
   65       2.387808230209e-10       3.503289060074e-14      -5.124164837949e-13       1.563606632350e-16       2.827710137397e-11       3.731312732875e-12      -8.214464319035e-15 
   66       2.420361472036e-10       3.661048109186e-14      -5.643252114335e-13       1.612137331560e-16       2.726928870286e-11       3.619121708205e-12      -8.293339582626e-15 
   67       2.453227946206e-10       3.822071555747e-14      -6.179498047513e-13       1.661404092687e-16       2.630713312781e-11       3.511300219369e-12      -8.362067501507e-15 
   68       2.486394684633e-10       3.986252881161e-14      -6.732808096282e-13       1.711413604663e-16       2.538472239149e-11       3.407185027923e-12      -8.456709794891e-15 
   69       2.519871664127e-10       4.153527966050e-14      -7.303024288295e-13       1.762170938556e-16       2.450133279843e-11       3.306765940650e-12      -8.582601357155e-15 
   70       2.553671781920e-10       4.323842369198e-14      -7.889957411108e-13       1.813681136796e-16       2.365713416585e-11       3.210161342288e-12      -8.736459934995e-15 
   71       2.587803413279e-10       4.497139514683e-14      -8.493398648967e-13       1.865949801641e-16       2.285161180790e-11       3.117426018967e-12      -8.914377309792e-15 
   72       2.622270113186e-10       4.673360750604e-14      -9.113119548969e-13       1.918983115401e-16       2.208353124235e-11       3.028547655170e-12      -9.111794046501e-15 
   73       2.657070318016e-10       4.852445407804e-14      -9.748871987214e-13       1.972787860677e-16       2.135090289725e-11       2.943443330710e-12      -9.323474242532e-15 
   74       2.692197047216e-10       5.034330858596e-14      -1.040038813496e-12       2.027371440584e-16       2.065094681758e-11       2.861956017690e-12      -9.543480276640e-15 
   75       2.727637604984e-10       5.218952575491e-14      -1.106738042478e-12       2.082741898992e-16       1.998005737191e-11       2.783851077478e-12      -9.765147557805e-15 
   76       2.763379453056e-10       5.406226574550e-14      -1.174951393852e-12       2.138906127741e-16       1.933469210353e-11       2.708878986650e-12      -9.981894801929e-15 
   77       2.799429724907e-10       5.595992919510e-14      -1.244631783298e-12       2.195864066164e-16       1.871430342710e-11       2.636984463854e-12      -1.018988126473e-14 
   78       2.835798744601e-10       5.788061974188e-14      -1.315725762574e-12       2.253613475664e-16       1.811887990396e-11       2.568129291110e-12      -1.038579044316e-14 
   79       2.872494002373e-10       5.982230806301e-14      -1.388176075079e-12       2.312151642213e-16       1.754805344631e-11       2.502227357717e-12      -1.056602954818e-14 
   80       2.909519982850e-10       6.178282884970e-14      -1.461921595918e-12       2.371475359408e-16       1.700108297428e-11       2.439142515296e-12      -1.072672138678e-14 
   81       2.946877993273e-10       6.375987778229e-14      -1.536897271965e-12       2.431580911524e-16       1.647683807283e-11       2.378686432838e-12      -1.086369624404e-14 
   82       2.984565991719e-10       6.575100850532e-14      -1.613034061929e-12       2.492464056569e-16       1.597378264884e-11       2.320616451750e-12      -1.097248376522e-14 
   83       3.022578415325e-10       6.775362960263e-14      -1.690258876416e-12       2.554120009338e-16       1.548995858802e-11       2.264633440905e-12      -1.104830483782e-14 
