# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       8.602586243400e-07       8.032820905623e-15       4.435894259517e-13       0.000000000000e+00       2.793339232183e-03       8.517959455080e-06      -2.584974742853e-12 
    3       1.744721507867e-06       1.296478392310e-14       2.161820175411e-13       0.000000000000e+00       5.577709383932e-03       1.819386605193e-05      -2.249690125860e-12 
    4       2.902597727633e-06       1.496095794258e-14      -5.786902768416e-13       0.000000000000e+00       9.431697698575e-03       3.044879498658e-05      -1.827230228410e-12 
    5       4.406526452584e-06       1.380121953158e-14      -2.250358936682e-12       0.000000000000e+00       1.420791743548e-02       4.790492640909e-05      -1.377287375227e-12 
    6       6.201299318222e-06       1.070272294925e-14      -5.086650183656e-12       0.000000000000e+00       2.020239779904e-02       7.012965584497e-05      -1.047743439929e-12 
    7       8.318886255029e-06       7.236071789472e-15      -9.693860794784e-12       0.000000000000e+00       2.716534827815e-02       9.354983345464e-05      -1.444101439871e-13 
    8       1.076069935106e-05       4.546449193201e-15      -1.641093177185e-11       0.000000000000e+00       3.530896676182e-02       1.274610659425e-04      -4.933201412472e-13 
    9       1.354981618126e-05       3.105881447477e-15      -2.611130269872e-11       0.000000000000e+00       4.473919444350e-02       1.596875062339e-04       7.031106326072e-13 
   10       1.655329941851e-05       2.843281886663e-15      -3.929433991207e-11       0.000000000000e+00       5.523404834017e-02       1.979964902984e-04       2.973704590033e-12 
   11       2.021342725616e-05       3.466437712823e-15      -5.678661880098e-11       0.000000000000e+00       2.722839101625e-01       4.619513522435e-05      -6.531542824901e-13 
   12       2.391182778521e-05       4.737787200931e-15      -7.964838275414e-11       0.000000000000e+00       2.506054241283e-01       3.727689008837e-05       2.939541799734e-12 
   13       2.783132771371e-05       6.652165929331e-15      -1.083891872193e-10       0.000000000000e+00       2.321168763574e-01       2.449332085302e-05       1.088814873086e-13 
   14       3.242223643783e-05       9.404042348050e-15      -1.451591170962e-10       0.000000000000e+00       2.161638616486e-01       2.789279028978e-05       4.400295725012e-12 
   15       3.703083566238e-05       1.334753291807e-14      -1.888700011905e-10       0.000000000000e+00       2.022592139979e-01       5.299220602854e-05       1.830706870017e-13 
   16       4.133927173537e-05       1.891408459571e-14      -2.448277915892e-10       0.000000000000e+00       1.900328734290e-01       9.403259413644e-05       5.688998005141e-12 
   17       4.619920219029e-05       2.650847034166e-14      -3.077411196947e-10       0.000000000000e+00       1.791987408551e-01       1.330658184394e-04      -2.036851639655e-12 
   18       5.209718379725e-05       3.665967228922e-14      -3.839780734558e-10       0.000000000000e+00       1.695662946600e-01       1.523547231296e-04      -6.105502282040e-12 
   19       5.767868223680e-05       4.996813711558e-14      -4.761110445584e-10       0.000000000000e+00       1.608543402389e-01       1.492887813921e-04      -5.289889796533e-12 
   20       6.122580894706e-05       6.712125169322e-14      -5.837999946192e-10       0.000000000000e+00       1.529924322952e-01       1.283254540048e-04      -8.125249044888e-12 
   21       6.386203949351e-05       8.896570780486e-14      -7.074805232860e-10       0.000000000000e+00       1.459150944525e-01       1.002515497801e-04      -9.363240422223e-12 
   22       6.764933583716e-05       1.164979339084e-13      -8.482245593733e-10       0.000000000000e+00       1.394380014498e-01       7.813101679024e-05      -6.670288612301e-13 
   23       7.269336967696e-05       1.508924637457e-13      -1.009485776023e-09       0.000000000000e+00       1.335144056431e-01       6.329786859235e-05       1.133697177270e-11 
   24       7.841209194964e-05       1.934917992371e-13      -1.195492179597e-09       0.000000000000e+00       1.280651393437e-01       5.261474586547e-05       1.612462749959e-11 
   25       8.447652181099e-05       2.457904338661e-13      -1.408441137441e-09       0.000000000000e+00       1.230565634077e-01       4.274520438314e-05       1.672256684218e-11 
   26       9.066986317294e-05       3.094375961886e-13      -1.649102769614e-09       0.000000000000e+00       1.184185681601e-01       3.121861780320e-05       1.957203592742e-11 
   27       9.716005318506e-05       3.861868314561e-13      -1.914980840172e-09       0.000000000000e+00       1.141186235229e-01       2.285538595214e-05       2.165841816630e-11 
   28       1.042093731881e-04       4.780055241619e-13      -2.203812577191e-09       0.000000000000e+00       1.101058053386e-01       2.379521185394e-05       1.749712987245e-11 
   29       1.117944804425e-04       5.873335447151e-13      -2.522291045001e-09       0.000000000000e+00       1.063774097706e-01       3.176190972865e-05       7.284866270982e-12 
   30       1.197749852557e-04       7.169624023554e-13      -2.881419916437e-09       0.000000000000e+00       1.029086607304e-01       4.073595849790e-05      -6.520703084208e-12 
   31       1.279945061424e-04       8.699018027092e-13      -3.291135448830e-09       0.000000000000e+00       9.964457314189e-02       4.464556443924e-05      -2.057889393754e-11 
   32       1.363943486649e-04       1.049069208499e-12      -3.747972919148e-09       0.000000000000e+00       9.658076214227e-02       4.369018039867e-05      -3.059715753590e-11 
   33       1.449406304418e-04       1.257496727059e-12      -4.242542520074e-09       0.000000000000e+00       9.370639110854e-02       4.041328625010e-05      -3.124889984582e-11 
   34       1.536070619950e-04       1.498599597207e-12      -4.766828731548e-09       0.000000000000e+00       9.099226467154e-02       3.771878047691e-05      -1.813797196873e-11 
   35       1.624180079770e-04       1.776811005522e-12      -5.329253520637e-09       0.000000000000e+00       8.843339001343e-02       3.744603363475e-05       5.185875902663e-12 
   36       1.714216100850e-04       2.097201237004e-12      -5.945049564044e-09       0.000000000000e+00       8.601735846204e-02       4.134538584327e-05       3.165905819121e-11 
   37       1.806704710155e-04       2.465220715232e-12      -6.629075289200e-09       0.000000000000e+00       8.372113303868e-02       5.073026246737e-05       5.368031745297e-11 
   38       1.901909765426e-04       2.886312304462e-12      -7.384065707698e-09       0.000000000000e+00       8.154537356998e-02       6.393146504754e-05       6.741558444186e-11 
   39       2.000046260939e-04       3.366199489981e-12      -8.208525571314e-09       0.000000000000e+00       7.948900086316e-02       7.796372888142e-05       6.982073368686e-11 
   40       2.101365022794e-04       3.911007422278e-12      -9.099765228974e-09       0.000000000000e+00       7.753853900842e-02       8.915064010112e-05       5.746511181643e-11 
   41       2.205912247611e-04       4.527312516311e-12      -1.005492505927e-08       0.000000000000e+00       7.567454116444e-02       9.406370765286e-05       2.852906564597e-11 
   42       2.312709458589e-04       5.222278099025e-12      -1.107465576261e-08       0.000000000000e+00       7.389614118140e-02       9.281291167153e-05      -1.037893720588e-11 
   43       2.420309759089e-04       6.003585723623e-12      -1.216049195461e-08       0.000000000000e+00       7.220256296556e-02       8.675335236937e-05      -4.884996354572e-11 
   44       2.527002619203e-04       6.879418664704e-12      -1.331383631001e-08       0.000000000000e+00       7.058562160543e-02       7.761786711748e-05      -7.437960147820e-11 
   45       2.631440993295e-04       7.858688914029e-12      -1.453718685876e-08       0.000000000000e+00       6.903389889925e-02       6.724856231291e-05      -7.587910695446e-11 
   46       2.734780699172e-04       8.951760933718e-12      -1.583827706366e-08       0.000000000000e+00       6.754823626800e-02       5.663978023485e-05      -5.574387708047e-11 
   47       2.839155757293e-04       1.016997182203e-11      -1.722715855571e-08       0.000000000000e+00       6.612980691529e-02       4.664938153654e-05      -2.118848242033e-11 
   48       2.947113935469e-04       1.152546689360e-11      -1.871513333032e-08       0.000000000000e+00       6.477537392353e-02       3.827282567119e-05       1.898485450507e-11 
   49       3.061639085811e-04       1.303122801300e-11      -2.031481616980e-08       0.000000000000e+00       6.347693975566e-02       3.265007227745e-05       5.429734137784e-11 
   50       3.185286785524e-04       1.470077692014e-11      -2.203731306245e-08       0.000000000000e+00       6.222488159607e-02       3.072160884843e-05       7.520922330297e-11 
   51       3.317262842603e-04       1.654712453686e-11      -2.388270873431e-08       0.000000000000e+00       6.101917383832e-02       3.207045137825e-05       8.200988816771e-11 
   52       3.455590394318e-04       1.858358543771e-11      -2.584710496641e-08       0.000000000000e+00       5.986060595710e-02       3.577774734899e-05       7.818717995004e-11 
   53       3.597908364098e-04       2.082409066128e-11      -2.792520736833e-08       0.000000000000e+00       5.874738087541e-02       4.073679481633e-05       6.797122600233e-11 
   54       3.741452071601e-04       2.328320074922e-11      -3.011025208278e-08       0.000000000000e+00       5.767492850579e-02       4.564343209076e-05       5.637279097868e-11 
   55       3.883754991408e-04       2.597660422219e-11      -3.239738439777e-08       0.000000000000e+00       5.663781117498e-02       4.930576006701e-05       4.788357232903e-11 
   56       4.025002597635e-04       2.892272814777e-11      -3.479494536517e-08       0.000000000000e+00       5.563642136352e-02       5.168542662049e-05       4.211112556469e-11 
   57       4.166229301874e-04       3.214155051111e-11      -3.731586063786e-08       0.000000000000e+00       5.467162123127e-02       5.309818638115e-05       3.712674063493e-11 
   58       4.308657053680e-04       3.565418108904e-11      -3.997449408010e-08       0.000000000000e+00       5.374269383894e-02       5.392000141424e-05       3.069501540742e-11 
   59       4.453704047344e-04       3.948289340222e-11      -4.278670896203e-08       0.000000000000e+00       5.284723819131e-02       5.458987243321e-05       2.026007744883e-11 
   60       4.602993428660e-04       4.365115666733e-11      -4.576992915421e-08       0.000000000000e+00       5.198106428037e-02       5.561267001269e-05       2.931805805415e-12 
   61       4.757922413873e-04       4.818351454515e-11      -4.893983009486e-08       0.000000000000e+00       5.113968305229e-02       5.742100198540e-05      -2.349291602801e-11 
   62       4.918236931238e-04       5.310511729577e-11      -5.229940530850e-08       0.000000000000e+00       5.032340456265e-02       5.991817909123e-05      -5.716740117169e-11 
   63       5.083151036750e-04       5.844214083243e-11      -5.584754317211e-08       0.000000000000e+00       4.953320311693e-02       6.283722023206e-05      -9.482415652186e-11 
   64       5.251753132913e-04       6.422195721352e-11      -5.958213575041e-08       0.000000000000e+00       4.876917005055e-02       6.587115493028e-05      -1.327246225420e-10 
   65       5.423000727723e-04       7.047316173380e-11      -6.350003305562e-08       0.000000000000e+00       4.803045937770e-02       6.867138186649e-05      -1.666401107254e-10 
   66       5.595715193647e-04       7.722560001543e-11      -6.759699730722e-08       0.000000000000e+00       4.731523344027e-02       7.084602741717e-05      -1.918327410576e-10 
   67       5.768576526609e-04       8.451039509918e-11      -7.186765719173e-08       0.000000000000e+00       4.662060855674e-02       7.195830419234e-05      -2.030363794789e-10 
   68       5.940455374753e-04       9.236008943707e-11      -7.630784254759e-08       0.000000000000e+00       4.594363542394e-02       7.164191154867e-05      -1.958864570411e-10 
   69       6.111498964389e-04       1.008090437239e-10      -8.092224000023e-08       0.000000000000e+00       4.528459249590e-02       6.997805934190e-05      -1.715884657928e-10 
   70       6.282256807027e-04       1.098931679184e-10      -8.571821351782e-08       0.000000000000e+00       4.464426535773e-02       6.719224132316e-05      -1.331655246125e-10 
   71       6.453366222507e-04       1.196498429837e-10      -9.070357610731e-08       0.000000000000e+00       4.402294363044e-02       6.354528025406e-05      -8.411086632002e-11 
   72       6.625555723803e-04       1.301179509165e-10      -9.588660495460e-08       0.000000000000e+00       4.342039308416e-02       5.933467984531e-05      -2.840583093673e-11 
   73       6.799648401834e-04       1.413379047776e-10      -1.012760565648e-07       0.000000000000e+00       4.283582775127e-02       5.489597669529e-05       2.946214105398e-11 
   74       6.976565310269e-04       1.533516787213e-10      -1.068811819025e-07       0.000000000000e+00       4.226788203958e-02       5.060409222863e-05       8.448151544649e-11 
   75       7.157328850337e-04       1.662028380249e-10      -1.127117415317e-07       0.000000000000e+00       4.171458284547e-02       4.687468463476e-05       1.310986710526e-10 
   76       7.342845212616e-04       1.799374919333e-10      -1.187783614628e-07       0.000000000000e+00       4.117396904852e-02       4.407443370022e-05       1.644098264733e-10 
   77       7.533198418469e-04       1.946072864082e-10      -1.250936421398e-07       0.000000000000e+00       4.064614205986e-02       4.223001940599e-05       1.840275269416e-10 
   78       7.728233095069e-04       2.102670142144e-10      -1.316712801284e-07       0.000000000000e+00       4.013154027376e-02       4.126828381364e-05       1.908898156534e-10 
   79       7.927762870557e-04       2.269737886813e-10      -1.385257671188e-07       0.000000000000e+00       3.963031048329e-02       4.110208307000e-05       1.861195703471e-10 
   80       8.131569228236e-04       2.447870926563e-10      -1.456724120524e-07       0.000000000000e+00       3.914229326861e-02       4.162977194105e-05       1.710313204341e-10 
   81       8.339400360762e-04       2.637688274569e-10      -1.531273632484e-07       0.000000000000e+00       3.866700838522e-02       4.273468834563e-05       1.471380641283e-10 
   82       8.550970024334e-04       2.839833618241e-10      -1.609076305303e-07       0.000000000000e+00       3.820364015217e-02       4.428463788931e-05       1.161580855762e-10 
   83       8.765956392890e-04       3.054975808750e-10      -1.690311073532e-07       0.000000000000e+00       3.775102284032e-02       4.613137839812e-05       8.002177198675e-11 
   84       8.984053173017e-04       3.283795731010e-10      -1.775136809436e-07       0.000000000000e+00       3.730801127969e-02       4.812933941627e-05       4.049726413649e-11 
   85       9.205135194716e-04       3.526943340361e-10      -1.863599638054e-07       0.000000000000e+00       3.687469528012e-02       5.019647543406e-05      -2.018829542420e-12 
   86       9.429118298932e-04       3.785074367889e-10      -1.955710591181e-07       0.000000000000e+00       3.645136068196e-02       5.226260265933e-05      -4.748105427161e-11 
   87       9.655909254049e-04       4.058863563497e-10      -2.051473096899e-07       0.000000000000e+00       3.603811401951e-02       5.425087165087e-05      -9.583136181691e-11 
   88       9.885405488409e-04       4.349004956531e-10      -2.150882711432e-07       0.000000000000e+00       3.563487438355e-02       5.607757512899e-05      -1.469986995201e-10 
   89       1.011749482284e-03       4.656212116412e-10      -2.253926851006e-07       0.000000000000e+00       3.524136528386e-02       5.765195578599e-05      -2.008985993310e-10 
   90       1.035205520317e-03       4.981218413262e-10      -2.360584523703e-07       0.000000000000e+00       3.485710651172e-02       5.887601409665e-05      -2.574327668387e-10 
   91       1.058895443276e-03       5.324777278531e-10      -2.470826061319e-07       0.000000000000e+00       3.448140600242e-02       5.964431612875e-05      -3.164886703043e-10 
   92       1.082804990504e-03       5.687662465629e-10      -2.584612851223e-07       0.000000000000e+00       3.411335169780e-02       5.984380135358e-05      -3.779391296917e-10 
   93       1.106922391390e-03       6.070697274746e-10      -2.701923973807e-07       0.000000000000e+00       3.375208779135e-02       5.938798459952e-05      -4.413686647716e-10 
   94       1.131249624084e-03       6.474846689146e-10      -2.822841280045e-07       0.000000000000e+00       3.339770866473e-02       5.832586356380e-05      -5.052063521743e-10 
   95       1.155792808522e-03       6.901139642534e-10      -2.947476673374e-07       0.000000000000e+00       3.305048497955e-02       5.674911187480e-05      -5.674611832921e-10 
   96       1.180558821305e-03       7.350641938970e-10      -3.075946444052e-07       0.000000000000e+00       3.271058709732e-02       5.475942059408e-05      -6.259795787449e-10 
   97       1.205555317789e-03       7.824456911081e-10      -3.208371370340e-07       0.000000000000e+00       3.237808084555e-02       5.246877814961e-05      -6.784412266788e-10 
   98       1.230790754173e-03       8.323726078281e-10      -3.344876819692e-07       0.000000000000e+00       3.205292328403e-02       4.999975026907e-05      -7.223549210645e-10 
   99       1.256274409592e-03       8.849629804983e-10      -3.485592849938e-07       0.000000000000e+00       3.173495847094e-02       4.748575991308e-05      -7.550543999955e-10 
  100       1.282016408204e-03       9.403387958815e-10      -3.630654310471e-07       0.000000000000e+00       3.142391322909e-02       4.507136720847e-05      -7.736941839868e-10 
  101       1.308027741279e-03       9.986260568835e-10      -3.780200943434e-07       0.000000000000e+00       3.111939291207e-02       4.291254938156e-05      -7.752454142731e-10 
  102       1.334320289291e-03       1.059954848374e-09      -3.934377484903e-07       0.000000000000e+00       3.082087717047e-02       4.117698069141e-05      -7.564916911073e-10 
  103       1.360906844007e-03       1.124459403011e-09      -4.093333766078e-07       0.000000000000e+00       3.052771571803e-02       4.004431236306e-05      -7.140249120591e-10 
  104       1.387798933716e-03       1.192275246253e-09      -4.257215849884e-07       0.000000000000e+00       3.023931366984e-02       3.966080342766e-05      -6.454684180909e-10 
  105       1.414999916776e-03       1.263530050421e-09      -4.426137859259e-07       0.000000000000e+00       2.995572518932e-02       3.999563043873e-05      -5.533435717711e-10 
  106       1.442510991948e-03       1.338351662113e-09      -4.600206514207e-07       0.000000000000e+00       2.967713251458e-02       4.096559880725e-05      -4.417201703605e-10 
  107       1.470333309910e-03       1.416870946003e-09      -4.779529759179e-07       0.000000000000e+00       2.940366142288e-02       4.247883953725e-05      -3.150449930320e-10 
  108       1.498467971206e-03       1.499221818560e-09      -4.964216765751e-07       0.000000000000e+00       2.913537908006e-02       4.443458752073e-05      -1.781511260675e-10 
  109       1.526916024199e-03       1.585541281779e-09      -5.154377935299e-07       0.000000000000e+00       2.887229188989e-02       4.672295983250e-05      -3.626728805520e-11 
  110       1.555678463011e-03       1.675969456900e-09      -5.350124901670e-07       0.000000000000e+00       2.861434334353e-02       4.922473402509e-05       1.049728449136e-10 
  111       1.584756225478e-03       1.770649618136e-09      -5.551570533857e-07       0.000000000000e+00       2.836141186886e-02       5.181112642358e-05       2.395213140472e-10 
  112       1.614150191097e-03       1.869728226400e-09      -5.758828938675e-07       0.000000000000e+00       2.811330867991e-02       5.434357042052e-05       3.609065526565e-10 
  113       1.643861178973e-03       1.973354963023e-09      -5.972015463433e-07       0.000000000000e+00       2.786977562625e-02       5.667349477078e-05       4.622240609579e-10 
  114       1.673889945764e-03       2.081682763486e-09      -6.191246698608e-07       0.000000000000e+00       2.763048304239e-02       5.864210188643e-05       5.361270808764e-10 
  115       1.704237183639e-03       2.194867851141e-09      -6.416640480521e-07       0.000000000000e+00       2.739502759717e-02       6.008014613163e-05       5.748172708482e-10 
  116       1.734902574760e-03       2.313074491577e-09      -6.648309978060e-07       0.000000000000e+00       2.716304514644e-02       6.084816646128e-05       5.720125319869e-10 
  117       1.765881828744e-03       2.436489839407e-09      -6.886345131518e-07       0.000000000000e+00       2.693456945480e-02       6.096320765678e-05       5.291418475083e-10 
  118       1.797169279487e-03       2.565310968300e-09      -7.130828951583e-07       0.000000000000e+00       2.670971325219e-02       6.048716139005e-05       4.498896135265e-10 
  119       1.828758786110e-03       2.699740386503e-09      -7.381843184275e-07       0.000000000000e+00       2.648855601156e-02       5.948782495417e-05       3.382939474993e-10 
  120       1.860643722563e-03       2.839986112299e-09      -7.639468261311e-07       0.000000000000e+00       2.627114281514e-02       5.803903724476e-05       1.987548444758e-10 
  121       1.892816967237e-03       2.986261749474e-09      -7.903783250471e-07       0.000000000000e+00       2.605748322062e-02       5.622081474136e-05       3.604233334325e-11 
  122       1.925270892562e-03       3.138786562778e-09      -8.174865805967e-07       0.000000000000e+00       2.584755012744e-02       5.411948748881e-05      -1.446953669251e-10 
  123       1.957997354622e-03       3.297785553389e-09      -8.452792118807e-07       0.000000000000e+00       2.564127864293e-02       5.182783507863e-05      -3.379236910230e-10 
  124       1.990987682758e-03       3.463489534378e-09      -8.737636867164e-07       0.000000000000e+00       2.543856494859e-02       4.944522263041e-05      -5.377135710638e-10 
  125       2.024232669172e-03       3.636135206170e-09      -9.029473166744e-07       0.000000000000e+00       2.523926516631e-02       4.707773677317e-05      -7.377332803329e-10 
  126       2.057722558537e-03       3.815965232009e-09      -9.328372521148e-07       0.000000000000e+00       2.504319422459e-02       4.483832162678e-05      -9.312402770409e-10 
  127       2.091447037603e-03       4.003228313421e-09      -9.634404772245e-07       0.000000000000e+00       2.485012472473e-02       4.284691478331e-05      -1.111073048076e-09 
  128       2.125395224803e-03       4.198179265679e-09      -9.947638050533e-07       0.000000000000e+00       2.465978580710e-02       4.123058328842e-05      -1.269642952755e-09 
  129       2.159558506754e-03       4.401078517887e-09      -1.026815366438e-06       0.000000000000e+00       2.447193760870e-02       4.009500321200e-05      -1.400533957548e-09 
  130       2.193939421660e-03       4.612190390961e-09      -1.059609271989e-06       0.000000000000e+00       2.428660627911e-02       3.943507211387e-05      -1.503517581065e-09 
  131       2.228543735326e-03       4.831784772470e-09      -1.093161454529e-06       0.000000000000e+00       2.410387272349e-02       3.921470198658e-05      -1.580075241964e-09 
  132       2.263377691493e-03       5.060137745727e-09      -1.127488226723e-06       0.000000000000e+00       2.392379873524e-02       3.939452827450e-05      -1.631842999031e-09 
