# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.520427710169e-08       1.161033136470e-09       5.899519399665e-12       1.161015422374e-09       2.793339232183e-03       8.517959455080e-06      -2.584974742853e-12 
    3       1.758972945753e-07       2.316686124732e-09       2.414752622726e-11       2.316577481570e-09       5.577709383932e-03       1.819386605193e-05      -2.249690125860e-12 
    4       2.908055437114e-07       3.849670623833e-09       6.673342043724e-11       3.849184747333e-09       9.431697698575e-03       3.044879498658e-05      -1.827230228410e-12 
    5       4.944435426624e-07       5.754127693621e-09       1.470183579087e-10       5.752497917963e-09       1.420791743548e-02       4.790492640909e-05      -1.377287375227e-12 
    6       7.340736480223e-07       8.023783453168e-09       2.789776298589e-10       8.019354374682e-09       2.020239779904e-02       7.012965584497e-05      -1.047743439929e-12 
    7       1.044798197960e-06       1.065253844844e-08       4.752783748426e-10       1.064221858586e-08       2.716534827815e-02       9.354983345464e-05      -1.444101439871e-13 
    8       1.431886266639e-06       1.363507550808e-08       7.462341197259e-10       1.361366880567e-08       3.530896676182e-02       1.274610659425e-04      -4.933201412472e-13 
    9       1.923049004536e-06       1.696744208135e-08       1.097445474600e-09       1.692689497241e-08       4.473919444350e-02       1.596875062339e-04       7.031106326072e-13 
   10       2.390792929145e-06       2.064756303541e-08       1.529345069943e-09       2.057618179297e-08       5.523404834017e-02       1.979964902984e-04       2.973704590033e-12 
   11       3.283658709673e-06       2.467564296518e-08       2.035438091657e-09       2.455735130989e-08       2.722839101625e-01       4.619513522435e-05      -6.531542824901e-13 
