# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887225e-10       7.309026172909e-15       4.815171199970e-13       0.000000000000e+00       8.628903609900e-09       4.854772122263e-10      -2.515854151611e-12 
    3       1.409365943024e-10       1.238791651651e-14       6.068719691964e-13       0.000000000000e+00       5.411291720747e-09       3.469573584031e-10      -2.211507031143e-12 
    4       1.324622774931e-10       1.446512635930e-14       6.277976520580e-13       0.000000000000e+00       3.776588552565e-09       2.639785056959e-10      -1.764116067081e-12 
    5       1.257504767206e-10       1.337853519882e-14       5.879551647002e-13       0.000000000000e+00       2.821984230415e-09       2.093815841280e-10      -1.309529286451e-12 
    6       1.208053913586e-10       1.032310747924e-14       5.173990841438e-13       0.000000000000e+00       2.205212283199e-09       1.709429022051e-10      -8.948468925444e-13 
    7       1.173297571162e-10       6.841600365876e-15       4.365335862034e-13       0.000000000000e+00       1.778233642832e-09       1.425663898166e-10      -5.443860557505e-13 
    8       1.150037075902e-10       4.042374146250e-15       3.576623511392e-13       0.000000000000e+00       1.468351551347e-09       1.208855295171e-10      -2.689334595810e-13 
    9       1.135829009985e-10       2.336357197399e-15       2.880590507274e-13       0.000000000000e+00       1.235838581897e-09       1.038809738786e-10      -7.009986714736e-14 
   10       1.128526892828e-10       1.571653533688e-15       2.317799681290e-13       0.000000000000e+00       1.056623422358e-09       9.029297653939e-11       5.745597591202e-14 
   11       1.126728147799e-10       1.345905907612e-15       1.905574141971e-13       0.000000000000e+00       8.886898866073e-10       7.950622580556e-11       1.233291888795e-13 
   12       1.129346482512e-10       1.288312421121e-15       1.640636561761e-13       0.000000000000e+00       7.765278494218e-10       7.028426767188e-11       1.421600854747e-13 
   13       1.135181528099e-10       1.200674797100e-15       1.505300362997e-13       0.000000000000e+00       6.844563326789e-10       6.274647574156e-11       1.277329344119e-13 
   14       1.143248539633e-10       1.054790798630e-15       1.474046706732e-13       0.000000000000e+00       6.078507022089e-10       5.620932594376e-11       9.279532796972e-14 
   15       1.153611553001e-10       9.105397340088e-16       1.516730192902e-13       0.000000000000e+00       5.433693950178e-10       5.074770567444e-11       4.959311367219e-14 
   16       1.165881732585e-10       8.293959318799e-16       1.602914710082e-13       0.000000000000e+00       4.885455305550e-10       4.611880785773e-11       7.232457043360e-15 
   17       1.179228766649e-10       8.287731533357e-16       1.707806936563e-13       0.000000000000e+00       4.415155574515e-10       4.212235145128e-11      -2.792920719814e-14 
   18       1.193693324595e-10       8.811664361856e-16       1.812740701216e-13       0.000000000000e+00       4.006946007263e-10       3.857273425352e-11      -5.233421673755e-14 
   19       1.209354732118e-10       9.538926646935e-16       1.907919251419e-13       0.000000000000e+00       3.654375303434e-10       3.544037587595e-11      -6.510245742315e-14 
   20       1.225654210906e-10       1.013472815642e-15       1.985909989541e-13       0.000000000000e+00       3.343837603232e-10       3.267209115382e-11      -6.706958872769e-14 
   21       1.242710987692e-10       1.062834165225e-15       2.047508483393e-13       0.000000000000e+00       3.070458377167e-10       3.022365663691e-11      -6.038518099779e-14 
   22       1.260522063537e-10       1.120089788919e-15       2.097242387557e-13       0.000000000000e+00       2.827706821223e-10       2.801369672250e-11      -4.840846306425e-14 
   23       1.278979532739e-10       1.204635700208e-15       2.139590306314e-13       0.000000000000e+00       2.612248133620e-10       2.601113447768e-11      -3.407762181933e-14 
   24       1.297762579685e-10       1.335071215344e-15       2.179755426442e-13       0.000000000000e+00       2.419102419190e-10       2.418236717400e-11      -2.047693837078e-14 
   25       1.317039918207e-10       1.511806345247e-15       2.222685094810e-13       0.000000000000e+00       2.246000751505e-10       2.253677423993e-11      -9.447600219687e-15 
   26       1.336934820875e-10       1.727825393000e-15       2.272832347698e-13       0.000000000000e+00       2.089813615651e-10       2.107676172969e-11      -2.331878386552e-15 
