# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760272e-10       7.309265059077e-15       4.815171148062e-13       2.388861355577e-19       8.628903609900e-09       4.854772122263e-10      -2.515854151611e-12 
    3       1.409375667269e-10       1.238839452130e-14       6.068719461075e-13       4.780044765612e-19       5.411291720747e-09       3.469573584031e-10      -2.211507031143e-12 
    4       1.324638933999e-10       1.446592354284e-14       6.277975858838e-13       7.971819628339e-19       3.776588552565e-09       2.639785056959e-10      -1.764116067081e-12 
    5       1.257528917094e-10       1.337973190996e-14       5.879550144251e-13       1.196705759303e-18       2.821984230415e-09       2.093815841280e-10      -1.309529286451e-12 
    6       1.208087577008e-10       1.032478441011e-14       5.173987897658e-13       1.676916255517e-18       2.205212283199e-09       1.709429022051e-10      -8.948468925444e-13 
    7       1.173342232664e-10       6.843838595459e-15       4.365330660517e-13       2.238195783078e-18       1.778233642832e-09       1.425663898166e-10      -5.443860557505e-13 
    8       1.150094177850e-10       4.045255171748e-15       3.576614997186e-13       2.880956113482e-18       1.468351551347e-09       1.208855295171e-10      -2.689334595810e-13 
    9       1.135899949479e-10       2.339962952359e-15       2.880577371182e-13       3.605625230707e-18       1.235838581897e-09       1.038809738786e-10      -7.009986714736e-14 
   10       1.128613019595e-10       1.576066392427e-15       2.317780349445e-13       4.412633900050e-18       1.056623422358e-09       9.029297653939e-11       5.745597591202e-14 
   11       1.126830763048e-10       1.351208675859e-15       1.905546770829e-13       5.302402560749e-18       8.886898866073e-10       7.950622580556e-11       1.233291888795e-13 
   12       1.129466838742e-10       1.294588313284e-15       1.640599038099e-13       6.275329054474e-18       7.765278494218e-10       7.028426767188e-11       1.421600854747e-13 
   13       1.135320829795e-10       1.208007400963e-15       1.505250308351e-13       7.331777665512e-18       6.844563326789e-10       6.274647574156e-11       1.277329344119e-13 
   14       1.143407944771e-10       1.063264028707e-15       1.473981485523e-13       8.472069892934e-18       6.078507022089e-10       5.620932594376e-11       9.279532796972e-14 
   15       1.153792175246e-10       9.202377751415e-16       1.516646923419e-13       9.696477302366e-18       5.433693950178e-10       5.074770567444e-11       4.959311367219e-14 
   16       1.166084644075e-10       8.404031749336e-16       1.602810277381e-13       1.100521671828e-17       4.885455305550e-10       4.611880785773e-11       7.232457043360e-15 
   17       1.179455001198e-10       8.411741250917e-16       1.707678006363e-13       1.239844792036e-17       4.415155574515e-10       4.212235145128e-11      -2.792920719814e-14 
   18       1.193943881261e-10       8.950457247066e-16       1.812583734335e-13       1.387627267773e-17       4.006946007263e-10       3.857273425352e-11      -5.233421673755e-14 
   19       1.209630578569e-10       9.693348482184e-16       1.907730515099e-13       1.543874365641e-17       3.654375303434e-10       3.544037587595e-11      -6.510245742315e-14 
   20       1.225956287489e-10       1.030562381869e-15       1.985685572438e-13       1.708585616452e-17       3.343837603232e-10       3.267209115382e-11      -6.706958872769e-14 
   21       1.243040210369e-10       1.081655448316e-15       2.047244301912e-13       1.881757336714e-17       3.070458377167e-10       3.022365663691e-11      -6.038518099779e-14 
   22       1.260879327600e-10       1.140726895573e-15       2.096934196543e-13       2.063381642328e-17       2.827706821223e-10       2.801369672250e-11      -4.840846306425e-14 
   23       1.279365714992e-10       1.227172459663e-15       2.139233700750e-13       2.253449445893e-17       2.612248133620e-10       2.601113447768e-11      -3.407762181933e-14 
   24       1.298178541412e-10       1.359591118222e-15       2.179345847570e-13       2.451949465755e-17       2.419102419190e-10       2.418236717400e-11      -2.047693837078e-14 
   25       1.317486506133e-10       1.538392513313e-15       2.222217827771e-13       2.658871720665e-17       2.246000751505e-10       2.253677423993e-11      -9.447600219687e-15 
   26       1.337412869098e-10       1.756560534964e-15       2.272302523715e-13       2.874206317192e-17       2.089813615651e-10       2.107676172969e-11      -2.331878386552e-15 
   27       1.357769113452e-10       2.007678386934e-15       2.329801812135e-13       3.097946512162e-17       1.948668548030e-10       1.976942536225e-11       6.620874570040e-16 
   28       1.378198930976e-10       2.285336749191e-15       2.392873938301e-13       3.330087938555e-17       1.820132713768e-10       1.856394834559e-11      -9.525865656236e-17 
   29       1.398799662605e-10       2.589051789130e-15       2.458479738585e-13       3.570632133478e-17       1.703550513411e-10       1.745584709291e-11      -3.801164585401e-15 
   30       1.419713708363e-10       2.920067199862e-15       2.522262641936e-13       3.819584566019e-17       1.597671042280e-10       1.644630524373e-11      -9.226625362375e-15 
   31       1.440979611710e-10       3.279007071452e-15       2.579084726446e-13       4.076954628209e-17       1.500335693902e-10       1.552718131609e-11      -1.492866704990e-14 
   32       1.462626247869e-10       3.663758715497e-15       2.625223781099e-13       4.342757991855e-17       1.411042583377e-10       1.468921657393e-11      -2.002927036814e-14 
   33       1.484586619366e-10       4.070695959343e-15       2.656892041707e-13       4.617015976085e-17       1.329161010344e-10       1.391497860405e-11      -2.370100759545e-14 
   34       1.506731990192e-10       4.496668876218e-15       2.670412861996e-13       4.899754922959e-17       1.253545982672e-10       1.318309557883e-11      -2.518539308021e-14 
   35       1.529128655192e-10       4.944269820256e-15       2.664970849940e-13       5.191004355637e-17       1.183811086806e-10       1.249406663890e-11      -2.459200535231e-14 
   36       1.551854452316e-10       5.418475913907e-15       2.640842958797e-13       5.490798966315e-17       1.119397476361e-10       1.185261241083e-11      -2.238999269310e-14 
   37       1.574933362749e-10       5.924454820061e-15       2.598749245813e-13       5.799177114754e-17       1.059467510528e-10       1.126054051996e-11      -1.915231559601e-14 
   38       1.598370054846e-10       6.464531441456e-15       2.540004626026e-13       6.116172468296e-17       1.003866708114e-10       1.071669914763e-11      -1.535846013559e-14 
   39       1.622114438004e-10       7.040265219758e-15       2.466473387471e-13       6.441820130709e-17       9.524189568299e-11       1.021645940085e-11      -1.154171510516e-14 
   40       1.646043524204e-10       7.653263647693e-15       2.380572481008e-13       6.776159188125e-17       9.046338875697e-11       9.751314200648e-12      -8.351242873166e-15 
   41       1.670017820955e-10       8.304886767545e-15       2.284586258534e-13       7.119228864169e-17       8.598777931897e-11       9.311591183642e-12      -6.389558482864e-15 
   42       1.694089277788e-10       8.995242773115e-15       2.178260458511e-13       7.471054904908e-17       8.180192050184e-11       8.896429813430e-12      -5.644106400495e-15 
   43       1.718349348308e-10       9.723866982616e-15       2.060482352010e-13       7.831659164401e-17       7.789473302410e-11       8.506508640852e-12      -5.882707424756e-15 
   44       1.742868956425e-10       1.048997092679e-14       1.929917400257e-13       8.201063265482e-17       7.423783283738e-11       8.141177682779e-12      -6.802860730036e-15 
   45       1.767695091704e-10       1.129272580066e-14       1.785110619974e-13       8.579284885731e-17       7.079567617640e-11       7.798902096540e-12      -8.072935776782e-15 
