# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.536291497124e-10       8.181454996942e-15       5.023076445742e-13       0.000000000000e+00       8.554344616330e-09       5.066832514517e-10      -2.656320572693e-12 
    3       1.439753673526e-10       1.378592260749e-14       6.350730078866e-13       0.000000000000e+00       5.276684249872e-09       3.593907628220e-10      -2.332364156639e-12 
    4       1.346939007375e-10       1.598950466734e-14       6.573394000634e-13       0.000000000000e+00       3.663516408609e-09       2.724931082312e-10      -1.854798692670e-12 
    5       1.274092509239e-10       1.467197568874e-14       6.149434536699e-13       0.000000000000e+00       2.728149525827e-09       2.155485158282e-10      -1.370457491843e-12 
    6       1.220533816494e-10       1.121744546015e-14       5.397183448753e-13       0.000000000000e+00       2.126794597621e-09       1.755867626169e-10      -9.300958536166e-13 
    7       1.182858226254e-10       7.355876376722e-15       4.533903058976e-13       0.000000000000e+00       1.713399033995e-09       1.461689056556e-10      -5.595480925972e-13 
    8       1.157494231055e-10       4.299669292145e-15       3.691907884259e-13       0.000000000000e+00       1.414382943820e-09       1.237286032202e-10      -2.700315958056e-13 
    9       1.141539430967e-10       2.470146665652e-15       2.950035201425e-13       0.000000000000e+00       1.189720608554e-09       1.061659586319e-10      -6.282076043717e-14 
   10       1.133409062417e-10       1.669558082796e-15       2.351073736666e-13       0.000000000000e+00       1.015971735793e-09       9.215729528000e-11       6.830565778518e-14 
   11       1.130904011760e-10       1.440243166008e-15       1.912465144461e-13       0.000000000000e+00       8.576597008151e-10       8.106211099613e-11       1.339633847044e-13 
   12       1.132486969029e-10       1.376841602185e-15       1.632601325067e-13       0.000000000000e+00       7.487467455959e-10       7.172025228789e-11       1.508069480385e-13 
   13       1.138016419680e-10       1.273235793829e-15       1.492749723786e-13       0.000000000000e+00       6.593919445712e-10       6.374198851608e-11       1.323598295702e-13 
   14       1.146019590704e-10       1.109157518341e-15       1.462588588963e-13       0.000000000000e+00       5.850888864356e-10       5.719702732002e-11       9.393538217375e-14 
   15       1.156275469147e-10       9.537873460736e-16       1.508400229833e-13       0.000000000000e+00       5.225902559788e-10       5.169298768358e-11       4.773299118583e-14 
   16       1.168176768998e-10       8.708152510864e-16       1.597922916175e-13       0.000000000000e+00       4.694832359216e-10       4.681846072822e-11       3.041681533883e-15 
   17       1.181558556011e-10       8.728808177477e-16       1.704416585771e-13       0.000000000000e+00       4.239496493744e-10       4.265544664312e-11      -3.329773638369e-14 
   18       1.196387641752e-10       9.250696681274e-16       1.807804166871e-13       0.000000000000e+00       3.844512592180e-10       3.906005476595e-11      -5.776443052964e-14 
   19       1.212492686301e-10       9.917668727089e-16       1.898487708445e-13       0.000000000000e+00       3.503545868041e-10       3.591594551873e-11      -6.971171436900e-14 
   20       1.229111618289e-10       1.038839665374e-15       1.969912663663e-13       0.000000000000e+00       3.203412658471e-10       3.307123582403e-11      -7.033527631520e-14 
   21       1.246480844880e-10       1.072879757888e-15       2.023352851912e-13       0.000000000000e+00       2.939357054320e-10       3.052106715279e-11      -6.210675722117e-14 
   22       1.264803658021e-10       1.117294401170e-15       2.063981672452e-13       0.000000000000e+00       2.705016971959e-10       2.826624746986e-11      -4.872335153326e-14 
   23       1.283903539199e-10       1.192965570854e-15       2.097809280678e-13       0.000000000000e+00       2.497141026158e-10       2.627082793637e-11      -3.329575849676e-14 
   24       1.303297300884e-10       1.318347297377e-15       2.131704266024e-13       0.000000000000e+00       2.310895673550e-10       2.446354512064e-11      -1.901659818826e-14 
   25       1.323099772019e-10       1.492235014962e-15       2.170302543126e-13       0.000000000000e+00       2.144067078922e-10       2.282613643974e-11      -7.749868607077e-15 
   26       1.343437654195e-10       1.705506908160e-15       2.217120381605e-13       0.000000000000e+00       1.993613479962e-10       2.134102066210e-11      -8.142750739589e-16 
   27       1.364238394875e-10       1.951428194200e-15       2.272348673865e-13       0.000000000000e+00       1.857719959594e-10       1.999416565485e-11       1.626817124416e-15 
   28       1.385282768040e-10       2.223755740068e-15       2.334307274169e-13       0.000000000000e+00       1.734035419336e-10       1.876386835881e-11       3.618859207126e-17 
   29       1.406642703567e-10       2.521793657648e-15       2.399582233145e-13       0.000000000000e+00       1.621917014941e-10       1.764543710722e-11      -4.580243154059e-15 
   30       1.428367675995e-10       2.846394815308e-15       2.463147023617e-13       0.000000000000e+00       1.520146162948e-10       1.662871896356e-11      -1.070640048230e-14 
   31       1.450407685209e-10       3.197706551118e-15       2.519106888179e-13       0.000000000000e+00       1.426630380096e-10       1.569473191520e-11      -1.662386847876e-14 
   32       1.472824160967e-10       3.573097132164e-15       2.563293976895e-13       0.000000000000e+00       1.340881179926e-10       1.483851743404e-11      -2.149386208818e-14 
   33       1.495632009785e-10       3.968340928647e-15       2.591527878779e-13       0.000000000000e+00       1.262289659885e-10       1.405306330599e-11      -2.465720163938e-14 
   34       1.518770819323e-10       4.379902461499e-15       2.599882991266e-13       0.000000000000e+00       1.189752121933e-10       1.332593210624e-11      -2.554525474756e-14 
   35       1.542242472484e-10       4.811284229602e-15       2.588119688828e-13       0.000000000000e+00       1.122891561935e-10       1.265116548245e-11      -2.436268519630e-14 
   36       1.566003408998e-10       5.268994758180e-15       2.557492733893e-13       0.000000000000e+00       1.061164115339e-10       1.202047969889e-11      -2.165774166294e-14 
   37       1.589966679490e-10       5.759665797806e-15       2.509703197891e-13       0.000000000000e+00       1.003758276491e-10       1.142347001096e-11      -1.808078924910e-14 
