# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.536296075804e-10       8.181664547347e-15       5.023076396791e-13       2.095504590272e-19       8.554344616330e-09       5.066832514517e-10      -2.656320572693e-12 
    3       1.439762810817e-10       1.378634198948e-14       6.350729861157e-13       4.193825215277e-19       5.276684249872e-09       3.593907628220e-10      -2.332364156639e-12 
    4       1.346954192081e-10       1.599020424991e-14       6.573393376766e-13       6.995851841699e-19       3.663516408609e-09       2.724931082312e-10      -1.854798692670e-12 
    5       1.274115204750e-10       1.467302618224e-14       6.149433120232e-13       1.050502472694e-18       2.728149525827e-09       2.155485158282e-10      -1.370457491843e-12 
    6       1.220565455551e-10       1.121891797404e-14       5.397180674640e-13       1.472538497777e-18       2.126794597621e-09       1.755867626169e-10      -9.300958536166e-13 
    7       1.182900206413e-10       7.357842460847e-15       4.533898158562e-13       1.966141825768e-18       1.713399033995e-09       1.461689056556e-10      -5.595480925972e-13 
    8       1.157547910925e-10       4.302200960073e-15       3.691899865328e-13       2.531788283204e-18       1.414382943820e-09       1.237286032202e-10      -2.700315958056e-13 
    9       1.141606127287e-10       2.473316399218e-15       2.950022833558e-13       3.169962933284e-18       1.189720608554e-09       1.061659586319e-10      -6.282076043717e-14 
   10       1.133490048010e-10       1.673438818148e-15       2.351055541922e-13       3.881141998600e-18       1.015971735793e-09       9.215729528000e-11       6.830565778518e-14 
   11       1.131000514367e-10       1.444908262088e-15       1.912439393193e-13       4.665775507353e-18       8.576597008151e-10       8.106211099613e-11       1.339633847044e-13 
   12       1.132600171000e-10       1.382364793427e-15       1.632566036472e-13       5.524271409944e-18       7.487467455959e-10       7.172025228789e-11       1.508069480385e-13 
   13       1.138147458471e-10       1.279691129561e-15       1.492702670601e-13       6.456981850274e-18       6.593919445712e-10       6.374198851608e-11       1.323598295702e-13 
   14       1.146169560122e-10       1.116619291911e-15       1.462527305583e-13       7.464192184007e-18       5.850888864356e-10       5.719702732002e-11       9.393538217375e-14 
   15       1.156445421233e-10       9.623300171715e-16       1.508322023008e-13       8.546113218210e-18       5.225902559788e-10       5.169298768358e-11       4.773299118583e-14 
   16       1.168367716450e-10       8.805133649579e-16       1.597824877387e-13       9.702877008082e-18       4.694832359216e-10       4.681846072822e-11       3.041681533883e-15 
   17       1.181771475017e-10       8.838089250466e-16       1.704295604355e-13       1.093453639279e-17       4.239496493744e-10       4.265544664312e-11      -3.329773638369e-14 
   18       1.196623475164e-10       9.373022470969e-16       1.807656943483e-13       1.224106641347e-17       3.844512592180e-10       3.906005476595e-11      -5.776443052964e-14 
   19       1.212752346670e-10       1.005378268629e-15       1.898310765259e-13       1.362238060642e-17       3.503545868041e-10       3.591594551873e-11      -6.971171436900e-14 
   20       1.229395991537e-10       1.053904019430e-15       1.969702358008e-13       1.507832079367e-17       3.203412658471e-10       3.307123582403e-11      -7.033527631520e-14 
   21       1.246790793000e-10       1.089470975832e-15       2.023105381251e-13       1.660869725116e-17       2.939357054320e-10       3.052106715279e-11      -6.210675722117e-14 
   22       1.265140022491e-10       1.135486108803e-15       2.063693083474e-13       1.821327606071e-17       2.705016971959e-10       2.826624746986e-11      -4.872335153326e-14 
   23       1.284267143056e-10       1.212831110740e-15       2.097475469508e-13       1.989182459064e-17       2.497141026158e-10       2.627082793637e-11      -3.329575849676e-14 
   24       1.303688951506e-10       1.339959712427e-15       2.131320982602e-13       2.164409883765e-17       2.310895673550e-10       2.446354512064e-11      -1.901659818826e-14 
   25       1.323520262142e-10       1.515667072377e-15       2.169865387354e-13       2.346989375413e-17       2.144067078922e-10       2.282613643974e-11      -7.749868607077e-15 
   26       1.343887763797e-10       1.730831109529e-15       2.216624803725e-13       2.536902807681e-17       1.993613479962e-10       2.134102066210e-11      -8.142750739589e-16 
   27       1.364718891391e-10       1.978716815048e-15       2.271789969558e-13       2.734138673966e-17       1.857719959594e-10       1.999416565485e-11       1.626817124416e-15 
   28       1.385794407127e-10       2.253080857897e-15       2.333680583679e-13       2.938691084863e-17       1.734035419336e-10       1.876386835881e-11       3.618859207126e-17 
   29       1.407186227342e-10       2.553227192666e-15       2.398882541016e-13       3.150563918398e-17       1.621917014941e-10       1.764543710722e-11      -4.580243154059e-15 
   30       1.428943813069e-10       2.880008567329e-15       2.462369158770e-13       3.369768862926e-17       1.520146162948e-10       1.662871896356e-11      -1.070640048230e-14 
   31       1.451017150614e-10       3.233572226476e-15       2.518245528544e-13       3.596325197691e-17       1.426630380096e-10       1.569473191520e-11      -1.662386847876e-14 
   32       1.473467653108e-10       3.611286334907e-15       2.562343669879e-13       3.830261005875e-17       1.340881179926e-10       1.483851743404e-11      -2.149386208818e-14 
   33       1.496310209027e-10       4.008925181692e-15       2.590483052085e-13       4.071613778701e-17       1.262289659885e-10       1.405306330599e-11      -2.465720163938e-14 
   34       1.519484386832e-10       4.422953213334e-15       2.598737969317e-13       4.320429384276e-17       1.189752121933e-10       1.332593210624e-11      -2.554525474756e-14 
   35       1.542992047812e-10       4.856872764027e-15       2.586868741968e-13       4.576756744296e-17       1.122891561935e-10       1.265116548245e-11      -2.436268519630e-14 
   36       1.566789608182e-10       5.317192170683e-15       2.556130107896e-13       4.840652460354e-17       1.061164115339e-10       1.202047969889e-11      -2.165774166294e-14 
   37       1.590790093632e-10       5.810542948331e-15       2.508223151997e-13       5.112178366586e-17       1.003758276491e-10       1.142347001096e-11      -1.808078924910e-14 
   38       1.615027877911e-10       6.339176215630e-15       2.444636724054e-13       5.391386108954e-17       9.505226910112e-11       1.086091836828e-11      -1.412745907798e-14 
   39       1.639536471023e-10       6.904026006214e-15       2.367150534544e-13       5.678328138028e-17       9.012866929797e-11       1.033533649579e-11      -1.032586999147e-14 
   40       1.664297266640e-10       7.505901384442e-15       2.278050982109e-13       5.973062170032e-17       8.555782960904e-11       9.847138379244e-12      -7.314036808449e-15 
   41       1.689265717689e-10       8.145381351457e-15       2.179432005115e-13       6.275644781665e-17       8.127880049173e-11       9.394956885676e-12      -5.670828872728e-15 
   42       1.714473549267e-10       8.822484355435e-15       2.070750329960e-13       6.586109068518e-17       7.727875230237e-11       8.977215816667e-12      -5.326591406534e-15 
   43       1.739950410614e-10       9.536873034740e-15       1.950525890971e-13       6.904480146634e-17       7.354682468453e-11       8.590720766084e-12      -5.971914516781e-15 
   44       1.765691637191e-10       1.028792227791e-14       1.816983692070e-13       7.230780990009e-17       7.005556153856e-11       8.230011289873e-12      -7.211503844343e-15 
   45       1.791675062778e-10       1.107497207172e-14       1.668282620134e-13       7.565027278594e-17       6.677066171593e-11       7.888975327366e-12      -8.629041295791e-15 
   46       1.817925487328e-10       1.189821685584e-14       1.503329733118e-13       7.907210587538e-17       6.368681687107e-11       7.566671661161e-12      -1.001764499500e-14 
   47       1.844463680291e-10       1.275805269359e-14       1.321176008627e-13       8.257309824280e-17       6.080034306267e-11       7.262956772473e-12      -1.120910093626e-14 
